,VWRP,VUSA,VUKE,VFEM,WLDS,IWVL,IWQU,INFR,AGGG,IGLS,SGLN
2000-05-31,,,6312.7001953125,,,,,,,,
2000-06-30,,,6365.2998046875,,,,,,,,
2000-07-31,,,6672.7001953125,,,,,,,,
2000-08-31,,,6294.2001953125,,,,,,,,
2000-09-30,,,6438.39990234375,,,,,,,,
2000-11-30,,,6142.2001953125,,,,,,,,
2000-12-31,,,6222.5,,,,,,,,
2001-01-31,,,6297.5,,,,,,,,
2001-02-28,,,5917.89990234375,,,,,,,,
2001-03-31,,,5967.0,,,,,,,,
2001-04-30,,,5796.2001953125,,,,,,,,
2001-05-31,,,5642.5,,,,,,,,
2001-06-30,,,5529.10009765625,,,,,,,,
2001-07-31,,,5345.0,,,,,,,,
2001-08-31,,,4903.39990234375,,,,,,,,
2001-09-30,,,5039.7001953125,,,,,,,,
2001-11-30,,,5203.60009765625,,,,,,,,
2001-12-31,,,5217.39990234375,,,,,,,,
2002-01-31,,,5164.7998046875,,,,,,,,
2002-02-28,,,5101.0,,,,,,,,
2002-03-31,,,5165.60009765625,,,,,,,,
2002-04-30,,,5085.10009765625,,,,,,,,
2002-05-31,,,4656.39990234375,,,,,,,,
2002-06-30,,,4246.2001953125,,,,,,,,
2002-07-31,,,4227.2998046875,,,,,,,,
2002-08-31,,,3721.800048828125,,,,,,,,
2002-09-30,,,4039.699951171875,,,,,,,,
2002-11-30,,,4169.39990234375,,,,,,,,
2002-12-31,,,3940.39990234375,,,,,,,,
2003-01-31,,,3567.39990234375,,,,,,,,
2003-02-28,,,3655.60009765625,,,,,,,,
2003-03-31,,,3926.0,,,,,,,,
2003-04-30,,,4048.10009765625,,,,,,,,
2003-05-31,,,4031.199951171875,,,,,,,,
2003-06-30,,,4157.0,,,,,,,,
2003-07-31,,,4161.10009765625,,,,,,,,
2003-08-31,,,4091.300048828125,,,,,,,,
2003-09-30,,,4287.60009765625,,,,,,,,
2003-11-30,,,4342.60009765625,,,,,,,,
2003-12-31,,621.5966650959249,4476.89990234375,6.566182109151027,22.989797508924806,18.525490500277595,5.835015866358063,,27.813757872118693,29.92256369584548,
2004-01-31,12.269810343629768,619.9723544494223,4390.7001953125,6.628083084055641,23.649399283339974,18.72770826257706,5.860392556991277,6.964387007714518,27.541849315310156,29.573420148310806,22.434286540573
2004-02-29,12.355000537420866,610.8025526833727,4492.2001953125,6.706416736982391,23.237622037104824,18.57640612157629,5.736241881681849,7.0338229042559055,27.039741506085225,28.88222393902539,
2004-03-31,12.301908608412946,633.2002983650713,4489.7001953125,7.106837229038624,24.679242333952658,19.397760733813463,5.882321668458336,6.97559292237661,28.701893039111255,30.52733070567066,21.281340931634038
2004-04-30,12.974272331297545,604.2203907190008,4430.7001953125,6.221404051234359,22.67158792179271,18.40772942611297,5.680562787731746,7.36983426752438,27.070879330787015,29.31055042258062,23.19272271039901
2004-05-31,12.165053710051131,615.6904227003444,4464.10009765625,6.3370192670104535,23.317148547683274,18.78992038024359,5.82514435014486,6.902686461092918,27.147512510520535,29.509845111146813,20.386286905861134
2004-06-30,12.387658177637675,626.1158066307281,4413.10009765625,6.388948712273566,24.214403230606706,19.076840420687027,5.889596904952741,7.033329176835339,27.303575897294614,29.470506758770327,20.896525738187286
2004-07-31,12.789807662713544,611.2232312390007,4459.2998046875,6.223492212140872,22.880628663527848,18.979968823431765,5.679367050851403,7.085678883148532,27.85620472569051,29.865479390992128,20.800671320509007
2004-08-31,12.377417701519473,609.1319332626025,4570.7998046875,6.40656289566623,22.406973234467987,19.086974597003238,5.633435668147963,7.334941569837844,28.145016362917314,29.916234331337797,
2004-09-30,12.453450011190224,605.2614828966455,4624.2001953125,6.746808932658083,23.17989867095612,19.044509479076737,5.539541165765636,7.5894857729450145,27.85217746617316,29.426608946848084,20.941244940106625
2004-11-30,12.513510936987394,614.694295894058,4703.2001953125,7.357043269311803,24.97006220533992,19.654011809313534,5.62462523913966,7.456416743284676,26.902036234488772,28.294904475855432,21.94986689503525
