asset,market_weight,pi_equilibrium_excess_return,pi_total_return,posterior_mu_excess,posterior_mu_total,delta_bps
VWRP,0.35,0.043365749999999995,0.08336574999999999,0.04239598634877181,0.08239598634877181,-9.697636512281878
VUSA,0.18,0.0459883875,0.0859883875,0.04391769752160154,0.08391769752160154,-20.7068997839846
VUKE,0.03,0.036961493750000005,0.07696149375,0.03966934620379938,0.07966934620379938,27.07852453799377
VFEM,0.06,0.04921435,0.08921435,0.053543090431094995,0.09354309043109499,43.287404310949974
WLDS,0.04,0.050676562499999994,0.0906765625,0.05061552708601266,0.09061552708601267,-0.6103541398733148
IWVL,0.03,0.0447561125,0.08475611250000001,0.04679827343017975,0.08679827343017975,20.42160930179747
IWQU,0.04,0.037998625,0.077998625,0.036917101921571646,0.07691710192157164,-10.81523078428355
INFR,0.03,0.03340308125,0.07340308125,0.033955861864643846,0.07395586186464384,5.527806146438455
AGGG,0.18,0.003273875,0.043273875,0.0032455325924503936,0.0432455325924504,-0.2834240754960625
IGLS,0.04,0.0010254374999999999,0.0410254375,0.0009714465791001598,0.04097144657910016,-0.5399092089984007
SGLN,0.02,0.009511,0.049511,0.010983827844726124,0.050983827844726125,14.728278447261236
