asset,market_weight,pi_equilibrium_excess_return,pi_total_return,posterior_mu_excess,posterior_mu_total,delta_bps
VWRP,0.35,0.0346926,0.0746926,0.03559928334831579,0.07559928334831578,9.066833483157913
VUSA,0.18,0.03679071,0.07679071,0.036522635786139075,0.07652263578613908,-2.6807421386092214
VUKE,0.03,0.029569195,0.069569195,0.03389557755193059,0.07389557755193059,43.26382551930588
VFEM,0.06,0.03937148,0.07937148,0.046191790735914874,0.08619179073591487,68.20310735914873
WLDS,0.04,0.04054125,0.08054125000000001,0.042838255655593224,0.08283825565559322,22.970056555932235
IWVL,0.03,0.03580489,0.07580489,0.0400035176041979,0.08000351760419791,41.98627604197903
IWQU,0.04,0.030398900000000003,0.0703989,0.030843732158317885,0.07084373215831788,4.4483215831788225
INFR,0.03,0.026722464999999997,0.066722465,0.029819613074986987,0.06981961307498699,30.971480749869897
AGGG,0.18,0.0026190999999999996,0.0426191,0.0024739965101731667,0.04247399651017317,-1.451034898268329
IGLS,0.04,0.0008203500000000001,0.04082035,0.000722965688386078,0.04072296568838608,-0.9738431161392211
SGLN,0.02,0.0076088,0.0476088,0.009657821371959691,0.04965782137195969,20.490213719596913
