asset,market_weight,bl_unconstrained,bl_constrained_recommended
VWRP,0.35,-0.06436996227382677,0.0
VUSA,0.18,0.17142857142857124,0.1476718869555931
VUKE,0.03,0.10867712194933422,0.10517482912533675
VFEM,0.06,0.1733454129331563,0.17151036813076254
WLDS,0.04,0.038095238095237925,0.0337676673563553
IWVL,0.03,0.1645089762827149,0.16120342009329913
IWQU,0.04,0.10355273682290732,0.09573480734986028
INFR,0.03,0.029986547583426188,0.027333424083265556
AGGG,0.18,0.17001345241657395,0.1733343489559163
IGLS,0.04,0.03809523809523784,0.08426924794961102
SGLN,0.02,0.019047619047618983,0.0
