asset,market_weight,bl_unconstrained,bl_constrained_recommended
VWRP,0.35,-0.15911775683948606,0.0
VUSA,0.18,0.17142857142856924,0.1073007650193905
VUKE,0.03,0.120898866243572,0.11175110650175112
VFEM,0.06,0.21100314399361203,0.2015777910536888
WLDS,0.04,0.0380952380952384,0.027641005180443424
IWVL,0.03,0.19855244115348236,0.18081402968868987
IWQU,0.04,0.11437759116310732,0.09166170422172107
INFR,0.03,0.08229528931989855,0.07766245783369015
AGGG,0.18,0.11770471068010131,0.12311304005605922
IGLS,0.04,0.03809523809523802,0.07847810044456577
SGLN,0.02,0.019047619047618952,0.0
