variant,w_VWRP,w_VUSA,w_VUKE,w_VFEM,w_WLDS,w_IWVL,w_IWQU,w_INFR,w_AGGG,w_IGLS,w_SGLN,w_GSPX,w_IWDG,w_TREND,w_BTC
Base (current),0.0,0.1476718869555931,0.10517482912533675,0.17151036813076254,0.0337676673563553,0.16120342009329913,0.09573480734986028,0.027333424083265556,0.1733343489559163,0.08426924794961102,0.0,0.0,0.0,0.0,0.0
Mod 1: GSPX hedge US,0.0,0.0,0.12833535902649837,0.16858026524467032,0.0,0.07794394117095711,0.0,0.041734790561193794,0.14775976497512097,0.0,0.0356458790215594,0.4000000000000001,0.0,0.0,0.0
Mod 2: +Trend 12%,0.0,0.14515289588986166,0.10828109902965155,0.17184875216239248,0.03354720244445011,0.15009934880028675,0.08880702185167157,0.030704923551749874,0.10181104545074021,0.049747710819195844,0.0,0.0,0.0,0.12,0.0
Mod 3: Sharpen views,0.0,0.17233926127500834,0.026754840076264823,0.21261344189961104,0.03777997067606462,0.2354593482086119,0.03996902372234058,0.0,0.1869938531580895,0.08809026098400925,0.0,0.0,0.0,0.0,0.0
Mod 4: rf 4.0%->2.5%,0.0,0.1476718869555931,0.10517482912533675,0.17151036813076254,0.0337676673563553,0.16120342009329913,0.09573480734986028,0.027333424083265556,0.1733343489559163,0.08426924794961102,0.0,0.0,0.0,0.0,0.0
Mod 5: +Crypto 2%,0.0,0.14192520240725254,0.10073075137037338,0.1627931165915032,0.0,0.18093134418952236,0.0964091147579052,0.034624833978595865,0.19449266620623515,0.06809297049861229,0.0,0.0,0.0,0.0,0.02
Mod 6: Risk parity (ERC),0.03588753771479376,0.034739332528482214,0.03710611237824437,0.029802296236556766,0.029452335553678363,0.03345725071237727,0.04026482565915058,0.03813631509958036,0.17405354272573376,0.3564990454395102,0.06461269534706701,0.0,0.0,0.12598871060482542,0.0
Mod 7: Full stack,0.0,0.0,0.04636360554232845,0.19910700066074288,0.0,0.13659708520546837,0.0,0.028772281465244392,0.034409354479827535,0.0,0.034750672646388384,0.4,0.0,0.12,0.0
Mod 8: Full stack +Crypto,0.0,0.0,0.04151430559337078,0.18511158260991722,0.0,0.14062890359228897,0.0,0.02810013424079776,0.03842501210416634,0.0,0.026220061859458865,0.4,0.0,0.12,0.02
Benchmark: 60/40,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
Benchmark: 100% VWRP,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
