strategy,VWRP,VUSA,VUKE,VFEM,WLDS,IWVL,IWQU,INFR,AGGG,IGLS,SGLN,GSPX,TAIL
Original BL (static),0.0,0.1476718869555931,0.10517482912533674,0.17151036813076248,0.03376766735635529,0.16120342009329916,0.09573480734986027,0.027333424083265553,0.1733343489559163,0.08426924794961102,0.0,0.0,
"v2 base (hedged, static)",0.0,0.0,0.10517482912533674,0.17151036813076248,0.03376766735635529,0.16120342009329916,0.09573480734986027,0.027333424083265553,0.1733343489559163,0.08426924794961102,0.0,0.1476718869555931,
60/40 (VWRP/AGGG),0.5999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,
100% MSCI ACWI (VWRP),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mod 1: Factor timing (V/Q),0.0,0.1476718869555931,0.10517482912533674,0.17151036813076248,0.033767667356355294,0.20018647094075673,0.05675175650240264,0.02733342408326556,0.1733343489559163,0.08426924794961102,0.0,0.0,
Mod 2: Macro regime rotation,0.0,0.13933368102628377,0.09923619448128498,0.16182613643325602,0.03186099595142921,0.176348977652818,0.10813558379564127,0.025790058426754733,0.17456750711753988,0.07951103460651757,0.0033898305084745775,0.0,
Mod 3: Vol target 10%,0.0,0.140633521108239,0.1001619662129827,0.1633358080136994,0.032158226307245935,0.1535201117138068,0.09117187656902101,0.026030653173209062,0.16507285391433446,0.1279149829874613,0.0,0.0,
Mod 4: Drawdown control,0.0,0.14516897361736225,0.10339220490287312,0.16860341273871493,0.03319533401133225,0.1584711587357852,0.09411218349647263,0.02687014570897299,0.17039647863462987,0.09979010815385493,0.0,0.0,
Mod 5: Faber GTAA trend,0.0,0.11638547022771285,0.07219628100976519,0.10537713296169707,0.022893333800918805,0.12431789176686574,0.07869725688929177,0.020152609281729676,0.10723226672696512,0.35274775733505237,0.0,0.0,
Mod 6: Cross-sec momentum,0.0,0.15342129061165746,0.09800758791807825,0.1718780991836348,0.034556308528966885,0.17065427320381413,0.10652813445823024,0.027234702870317228,0.16009426169703642,0.07762534152826456,0.0,0.0,
Mod 7: Tail hedge 3%,0.0,0.14147640944004075,0.10076228789977476,0.16431476271564532,0.032350966939153625,0.1544402359476364,0.09171831606895624,0.027333424083265553,0.1733343489559163,0.08426924794961102,0.0,0.0,0.03000000000000001
Mod 8: Full dynamic stack,0.0,0.10579717177361508,0.06597673522494031,0.09551976678328766,0.020769356363741023,0.13549454493795254,0.08797389842308147,0.018345839141903627,0.10658329619290753,0.36099701827721514,0.0025423728813559325,0.0,
Mod 9: v2 base + dyn stack,0.0,0.0,0.06759087831862004,0.09829944026149956,0.021361472221453653,0.13881838292791704,0.09071709074301115,0.01884872795493376,0.10953408332294248,0.4522875513682658,0.002542372881355932,0.0,
