strategy,ann_return_gross,ann_return_net,ann_vol,sharpe_rf4.0,sharpe_rf2.5,sortino_rf4.0,calmar,max_drawdown,ann_turnover,tc_drag,hit_rate,sharpe_IS,sharpe_OOS,sharpe_gap_OOS_minus_IS
Original BL (static),0.09691506773526859,0.09682891151359696,0.12388875725016,0.4587091902039688,0.5797855520380901,0.4407860673627308,0.5763882905591008,-0.16799250279646072,0.15854340264451983,7.927170132225992e-05,0.6313559322033898,0.355000353515668,0.5683580729594027,0.21335771944373466
"v2 base (hedged, static)",0.09320714970204613,0.09311734255592774,0.1155323375959197,0.4597616880367156,0.5895954671511249,0.4370841192522081,0.5081959422707473,-0.18323118075255784,0.16554943153701915,8.277471576850957e-05,0.6440677966101694,0.34032948008641933,0.5844982472470556,0.24416876716063624
60/40 (VWRP/AGGG),0.0942366738482654,0.09416781899360527,0.12440458507783057,0.435416580182447,0.5559909142442956,0.4243171047829382,0.6724827137679851,-0.14003009603915906,0.12754951441428503,6.377475720714252e-05,0.6313559322033898,0.36968417637241985,0.5025177436309612,0.1328335672585414
100% MSCI ACWI (VWRP),0.11669458644363617,0.11668075909340136,0.1733281666281937,0.44240218185593155,0.5289432230023282,0.40001794871623764,0.3078055145828208,-0.37907299760870994,0.025423728813559324,1.2711864406779663e-05,0.6398305084745762,0.2592575791618189,0.6579171660195096,0.39865958685769065
Mod 1: Factor timing (V/Q),0.09496918130798648,0.0948826134446541,0.12364298477629519,0.44387971985593944,0.5651967523356972,0.42293367966623957,0.5648026659833363,-0.16799250279646072,0.15957762355185223,7.978881177592612e-05,0.6186440677966102,0.3467951015735886,0.5469039532228358,0.2001088516492472
Mod 2: Macro regime rotation,0.09761722760123792,0.09744545400695825,0.12250334339426297,0.46892968318486333,0.5913753208661486,0.45196747167917645,0.6522958348866879,-0.14938843511684508,0.31602092328888504,0.00015801046164444252,0.6271186440677966,0.37402330037826836,0.5669644155895244,0.192941115211256
Mod 3: Vol target 10%,0.08707340995895674,0.08676938749758278,0.11463952763508979,0.4079691225390851,0.5388140440895878,0.39442059450431693,0.5253177096342779,-0.1651750662622643,0.5657170543674797,0.00028285852718373984,0.6186440677966102,0.3560783136968538,0.4599860051145121,0.10390769141765832
Mod 4: Drawdown control,0.08978465487369869,0.08964692892593318,0.11958086237449593,0.4151745349557022,0.5406126669623433,0.3900203808688773,0.6295625892514292,-0.14239557822602888,0.2569646971129592,0.0001284823485564796,0.6313559322033898,0.3002960917323367,0.5335487706015039,0.23325267886916717
Mod 5: Faber GTAA trend,0.06570170018428811,0.06471038011507857,0.10337049076218796,0.23904675244240414,0.3841558632669691,0.22879780260413277,0.3272170304573613,-0.19775981716058877,1.8734517172913234,0.0009367258586456617,0.5932203389830508,0.2903434641227479,0.1862067717725218,-0.10413669235022613
Mod 6: Cross-sec momentum,0.10094966233248903,0.10069527247853127,0.12419186021988518,0.48872182420867666,0.6095026867663522,0.46837215944584176,0.6714481627914567,-0.14996730657494695,0.46725939299413344,0.00023362969649706674,0.635593220338983,0.39688029758825216,0.583021232026743,0.1861409344384909
Mod 7: Tail hedge 3%,0.0935637375429943,0.09347453032321873,0.11540884057551201,0.4633486486525297,0.5933213606666107,0.46514198150630065,0.7216301564909445,-0.12953246130643337,0.16476155000153422,8.238077500076711e-05,0.6186440677966102,0.37353028572765423,0.5560197006739174,0.18248941494626314
Mod 8: Full dynamic stack,0.06692316521128805,0.0659257239579949,0.10175261202411565,0.2547917290993024,0.40220809219418746,0.2500214871405901,0.36049731384774447,-0.18287438331881312,1.8827550060697353,0.0009413775030348676,0.597457627118644,0.3067163599171146,0.20117332423812204,-0.10554303567899256
Mod 9: v2 base + dyn stack,0.06293319500656036,0.06205702644824784,0.09608112500545518,0.2295666963411962,0.38568476843025995,0.2323176830286624,0.35217748569014284,-0.17620952210115903,1.6598857121636077,0.0008299428560818038,0.576271186440678,0.31023637268898085,0.14509273243355728,-0.16514364025542358
