month,p10,p25,p50,p75,p90
2026-05-01,2878.9644169480075,2940.5407342426843,3010.0497484425596,3080.044456056237,3142.8514062103086
2026-06-01,2837.585521689199,2921.798846877027,3018.718168808392,3119.2442018683114,3212.2786269310645
2026-07-01,2806.973085828758,2907.3759461922864,3028.6514762937286,3153.5503537297736,3262.8754594475654
2026-08-01,2777.035676075674,2898.3993778872145,3036.112779095526,3181.8800037408173,3316.0244971636625
2026-09-01,2757.418446999053,2893.725790761,3048.725977420341,3208.29516787893,3357.8171348189703
2026-10-01,2741.6216287197212,2892.4286031463557,3062.034634905358,3236.276624117825,3396.435552523641
2026-11-01,2729.4720306029526,2888.4910596716295,3070.210629082967,3262.7483075976415,3439.785935075379
2026-12-01,2723.346956464611,2888.7650459359334,3082.9431337038823,3291.3325685703703,3488.39999701422
2027-01-01,2712.5636165509727,2884.255259071448,3097.335579615611,3314.8769173427017,3524.2679211552236
2027-02-01,2708.8722920383484,2884.0764956322037,3103.8178699668315,3339.608776829483,3566.0694670619364
2027-03-01,2698.2233563588475,2889.0504928116807,3119.5056798795545,3362.6795526632554,3596.9325496737074
2027-04-01,2692.388212724009,2887.8398931617594,3126.8516550103427,3385.1610470901232,3636.6214911441343
2027-05-01,2679.501431793053,2893.0319738660255,3138.4137821394625,3403.7728559302304,3665.8063460338935
2027-06-01,2671.212677286144,2892.224965005399,3150.105235208465,3429.6951494503746,3695.533518440725
2027-07-01,2662.4813745225406,2893.055619502955,3158.862715153852,3452.748333520664,3731.2805620848294
2027-08-01,2657.804220355,2893.316387264621,3168.5294622813662,3467.460084088418,3766.676308326657
2027-09-01,3146.600524326013,3390.5330306372844,3681.763456273925,3998.41925401211,4309.931269293211
2027-10-01,3644.816677389059,3890.3817593782505,4194.267662443961,4532.940657730767,4855.184320066218
2027-11-01,4127.605864851893,4394.072202254939,4708.863508454333,5066.6867089747375,5410.921281061635
2027-12-01,4602.611231276831,4892.688866274347,5220.300436831929,5604.461467780166,5985.748173780407
2028-01-01,5075.732350968139,5383.361003851247,5744.359374602322,6149.400806476231,6551.19886281707
2028-02-01,5558.707035134457,5873.174343787675,6277.238188598953,6698.010278867775,7134.430605626281
2028-03-01,6029.538459782861,6375.820803574102,6800.470419708145,7257.255125004776,7723.802934365176
2028-04-01,6492.9057792816,6866.7339423169715,7321.903133535923,7823.877411190379,8319.46091873453
2028-05-01,6968.0817776026015,7351.6407506629375,7850.238730765452,8379.027897636268,8912.44043726122
2028-06-01,7432.057405339554,7853.588689657641,8372.29480822273,8943.710537161907,9516.477411650809
2028-07-01,7890.910392114265,8340.835816595174,8916.945504286618,9507.415513270282,10114.222907488987
2028-08-01,8360.39449748848,8839.761667644938,9443.642028973805,10104.90842587021,10722.552938234272
2028-09-01,8825.963572830715,9343.489748621298,9972.384858786338,10676.545532776943,11349.475986764217
2028-10-01,9278.125979399054,9827.566696813832,10515.014005984467,11270.746283067752,11961.858864429038
2028-11-01,9732.999938143419,10315.737876001156,11050.837627874685,11844.027243241588,12597.497186866109
